state,perturbation,delta_psi_mV,matrix_ca_au,mtROS_au,CypD_activity_au,ANT_function_au,ATPsynthase_pore_propensity_au,delta_psi_vulnerability,transient_pore_score,sustained_pore_prob,sustained_pore_open,mtDNA_release_au,viability_fraction,ATP_index
Cardiac_Control,WT,168.97371322408986,0.18677034063596684,0.27504511522437985,0.3836803991262342,0.5405572341205632,0.6426177547531642,0.014661239655859097,0.46534354615871176,0.49692179177306645,0,0.24708336950646761,0.9921905599549011,0.9278437937001708
Cardiac_Control,WT,163.89388559063053,0.2663483741787713,0.2892549168457764,0.4051855167842424,0.6400624977046226,0.7409416640470131,0.08723020584813526,0.34848275205415485,0.6787350310970912,0,0.3006483041165302,0.9260140198052161,0.8563492723982052
Cardiac_Control,WT,170.18150830480553,0.27258283867785843,0.3258135870222694,0.509783488409861,0.7005243699718182,0.41014324261808593,-0.0025929757829361833,0.564717260417026,0.5824603010482525,1,1.5512388338171952,0.49217485665041716,0.8143560404883499
Cardiac_Control,WT,177.1842388512642,0.23581781846227048,0.3237661436424432,0.4988296212346772,0.7046980593764741,0.6062969236690572,-0.10263198358948873,0.6402367539379342,0.5377868088050028,0,0.6887242823814732,0.8347603622486793,0.9269274815718396
Cardiac_Control,WT,163.12677300221333,0.28709714306671924,0.15356314424300363,0.44832787248286815,0.6549934528520756,0.48493574308781734,0.09818895711123819,0.4271958264513084,0.485648045560037,0,0.29843270121353777,0.9442159867309646,0.8538501019496972
Cardiac_Control,WT,163.12690434440657,0.33232406854516305,0.1843522472059414,0.4593861906647026,0.7622849932347499,0.5012874616235304,0.09818708079419187,0.6237594648582367,0.6477912849325793,1,1.5473177069333066,0.40228631879578214,0.746526056010166
Cardiac_Control,WT,177.63370252405912,0.4508948720968424,0.2860524687046062,0.552213191663074,0.5932379570617405,0.4907606075761131,-0.10905289320084453,0.5222899865461718,0.6043056308802471,1,1.5287201131544248,0.4464947705512673,0.8611378306331896
Cardiac_Control,WT,171.13947783322328,0.3139662250265471,0.28596501656385465,0.4026742888931336,0.6857620514978706,0.46360092303201844,-0.016278254760332598,0.3486583408905237,0.6593805161806845,0,0.5298595338337502,0.9991742372696831,0.9647128844067044
Cardiac_Control,WT,161.2442049125204,0.3206040312578211,0.28605333804142336,0.49376779049360303,0.7120295631711898,0.5548521627944828,0.12508278696399447,0.28649575522196147,0.5911516608771118,1,1.7749744982248232,0.5837387979961159,0.7356514344482928
Cardiac_Control,WT,169.34048034868772,0.2940443267387066,0.5196912043458305,0.4338245878052885,0.7514438834058749,0.46690498835889627,0.009421709304461144,0.6989940243224441,0.7659119738537371,1,1.5929361748512132,0.49881655476747117,0.7423816194326149
Cardiac_Control,WT,161.2926584575003,0.14649830277607667,0.2899623357485217,0.43258550374182236,0.7711614878088889,0.5770456825779839,0.1243905934642815,0.4315180894219979,0.6020154130941895,1,1.4506336067652954,0.48114292080489934,0.7365716805292809
Cardiac_Control,WT,161.27416197143793,0.29787888996406264,0.32948959481264195,0.5379021481589752,0.5875357908162131,0.5449761890550864,0.12465482897945808,0.4570314594987012,0.6676974470348956,1,1.6548785283073886,0.5198061119159368,0.8292866893819415
Cardiac_Control,WT,166.93569817252828,0.3048184167952821,0.31678012344452416,0.5160333079190424,0.5465885829264377,0.5261051953133591,0.043775740392453195,0.5038633523650228,0.605898393473414,1,1.6186658600519963,0.5205186577522524,0.7803043453273604
Cardiac_Control,WT,149.6937580427376,0.49705936899882286,0.29559738759140586,0.5150807708800511,0.8277676821898509,0.45924363379584027,0.2900891708180341,0.4089833684056761,0.8111350019514342,1,1.7273098068467352,0.4697393180837594,0.7297342573003628
Cardiac_Control,WT,151.20065733989574,0.28461112281751016,0.22793115287517582,0.5544383045723463,0.7332314011979592,0.4923228669431668,0.2685620380014894,0.6337616953457599,0.6836915667813125,1,1.6082877095818673,0.5889127887793182,0.7638931975709319
Cardiac_Control,WT,160.50169976607222,0.324123787386689,0.3031278454345287,0.45168030733062076,0.6251513463443445,0.6255391225825756,0.1356900033418254,0.4719830545185554,0.7146909253553544,1,1.480975458637277,0.5675008499089236,0.7554495379910967
Cardiac_Control,WT,156.8973510373246,0.29722305842358054,0.19590223498236997,0.5045562377035971,0.8551151975522523,0.6000917187624382,0.18718069946679147,0.4332556731694392,0.689366788625953,0,0.4477582802192664,0.9482642355105486,0.8827863814858881
Cardiac_Control,WT,167.51397866076218,0.2065057569904374,0.23342269752819939,0.42517865947252353,0.7115674634292858,0.45224447552014496,0.03551459056054033,0.4586153214907652,0.5378712271799517,0,0.52939620417751,0.9567408533504314,0.915658980311026
Cardiac_Control,WT,157.7358073958303,0.3914258251612016,0.21602455165196274,0.47593330819907537,0.8179297184063826,0.5599332305429227,0.17520275148813846,0.5194058511788233,0.6963614034243615,1,1.6039179176165765,0.5389484936094451,0.7413093801638899
Cardiac_Control,WT,153.70157038931768,0.3601546426149419,0.25573118975704257,0.43958855565058524,0.7067518481410109,0.625138712337179,0.23283470872403314,0.4612357268418222,0.7045413655668803,1,1.5656877318582965,0.4263082853559104,0.7268289794397556
